Professions,Age,Sex,Initial Country of Qualifications,Year,Number of Practitioners
Podiatrists,45-54,Female,Not stated,2013 ,10
Podiatrists,55-64,Male,Australia,2013 ,80
Podiatrists,55-64,Male,New Zealand,2013 ,3
Podiatrists,55-64,Male,Other overseas,2013 ,25
Podiatrists,55-64,Male,Not stated,2013 ,4
Podiatrists,55-64,Female,Australia,2013 ,113
Podiatrists,55-64,Female,New Zealand,2013 ,5
Podiatrists,55-64,Female,Other overseas,2013 ,16
Podiatrists,55-64,Female,Not stated,2013 ,7
Podiatrists,65-74,Male,Australia,2013 ,17
Podiatrists,65-74,Male,Other overseas,2013 ,5
Podiatrists,65-74,Female,Australia,2013 ,20
Podiatrists,65-74,Female,Other overseas,2013 ,6
Podiatrists,75-99,Male,Other overseas,2013 ,0
Podiatrists,75-99,Female,Australia,2013 ,8
Podiatrists,75-99,Female,Other overseas,2013 ,0
Podiatrists,75-99,Female,Not stated,2013 ,0
Psychologists,20-34,Male,Australia,2013 ,680
Psychologists,20-34,Male,New Zealand,2013 ,9
Psychologists,20-34,Male,Other overseas,2013 ,15
Psychologists,20-34,Male,Not stated,2013 ,46
Psychologists,20-34,Female,Australia,2013 ,4073
Psychologists,20-34,Female,New Zealand,2013 ,44
Psychologists,20-34,Female,Other overseas,2013 ,143
Psychologists,20-34,Female,Not stated,2013 ,235
Psychologists,35-44,Male,Australia,2013 ,1059
Psychologists,35-44,Male,New Zealand,2013 ,25
Psychologists,35-44,Male,Other overseas,2013 ,93
Psychologists,35-44,Male,Not stated,2013 ,44
Psychologists,35-44,Female,Australia,2013 ,4709
Psychologists,35-44,Female,New Zealand,2013 ,47
Psychologists,35-44,Female,Other overseas,2013 ,302
Psychologists,35-44,Female,Not stated,2013 ,118
Psychologists,45-54,Male,Australia,2013 ,1073
Psychologists,45-54,Male,New Zealand,2013 ,15
Psychologists,45-54,Male,Other overseas,2013 ,132
Psychologists,45-54,Male,Not stated,2013 ,33
Psychologists,45-54,Female,Australia,2013 ,3439
Psychologists,45-54,Female,New Zealand,2013 ,53
Psychologists,45-54,Female,Other overseas,2013 ,340
Psychologists,45-54,Female,Not stated,2013 ,79
Psychologists,55-64,Male,Australia,2013 ,1172
Psychologists,55-64,Male,New Zealand,2013 ,22
Psychologists,55-64,Male,Other overseas,2013 ,153
Psychologists,55-64,Male,Not stated,2013 ,42
Psychologists,55-64,Female,Australia,2013 ,2844
Psychologists,55-64,Female,New Zealand,2013 ,29
Psychologists,55-64,Female,Other overseas,2013 ,237
Psychologists,55-64,Female,Not stated,2013 ,67
Psychologists,65-74,Male,Australia,2013 ,503
Psychologists,65-74,Male,New Zealand,2013 ,16
Psychologists,65-74,Male,Other overseas,2013 ,69
Psychologists,65-74,Male,Not stated,2013 ,12
Psychologists,65-74,Female,Australia,2013 ,861
Psychologists,65-74,Female,New Zealand,2013 ,10
Psychologists,65-74,Female,Other overseas,2013 ,79
Psychologists,65-74,Female,Not stated,2013 ,30
Psychologists,75-99,Male,Australia,2013 ,47
Psychologists,75-99,Male,New Zealand,2013 ,0
Psychologists,75-99,Male,Other overseas,2013 ,15
Psychologists,75-99,Male,Not stated,2013 ,3
Psychologists,75-99,Female,Australia,2013 ,52
Psychologists,75-99,Female,New Zealand,2013 ,3
Psychologists,75-99,Female,Other overseas,2013 ,8
Psychologists,75-99,Female,Not stated,2013 ,7
ATSI Health Practitioners,20-34,Male,Not stated,2014 ,8
ATSI Health Practitioners,20-34,Female,Not stated,2014 ,33
ATSI Health Practitioners,35-44,Male,Not stated,2014 ,21
ATSI Health Practitioners,35-44,Female,Not stated,2014 ,52
ATSI Health Practitioners,45-54,Male,Not stated,2014 ,19
ATSI Health Practitioners,45-54,Female,Not stated,2014 ,76
ATSI Health Practitioners,55-64,Male,Not stated,2014 ,11
ATSI Health Practitioners,55-64,Female,Not stated,2014 ,37
ATSI Health Practitioners,65-74,Male,Not stated,2014 ,3
ATSI Health Practitioners,65-74,Female,Not stated,2014 ,5
ATSI Health Practitioners,75-99,Male,Not stated,2014 ,3
Chiropractors,20-34,Male,Australia,2014 ,671
Chiropractors,20-34,Male,New Zealand,2014 ,38
Chiropractors,20-34,Male,Other overseas,2014 ,19
Chiropractors,20-34,Male,Not stated,2014 ,60
Chiropractors,20-34,Female,Australia,2014 ,609
Chiropractors,20-34,Female,New Zealand,2014 ,41
Chiropractors,20-34,Female,Other overseas,2014 ,23
Chiropractors,20-34,Female,Not stated,2014 ,70
Chiropractors,35-44,Male,Australia,2014 ,695
Chiropractors,35-44,Male,New Zealand,2014 ,14
Chiropractors,35-44,Male,Other overseas,2014 ,81
Chiropractors,35-44,Male,Not stated,2014 ,17
Chiropractors,35-44,Female,Australia,2014 ,409
Chiropractors,35-44,Female,New Zealand,2014 ,8
Chiropractors,35-44,Female,Other overseas,2014 ,44
Chiropractors,35-44,Female,Not stated,2014 ,7
Chiropractors,45-54,Male,Australia,2014 ,480
Chiropractors,45-54,Male,New Zealand,2014 ,3
Chiropractors,45-54,Male,Other overseas,2014 ,83
Chiropractors,45-54,Male,Not stated,2014 ,6
Chiropractors,45-54,Female,Australia,2014 ,195
Chiropractors,45-54,Female,New Zealand,2014 ,4
Chiropractors,45-54,Female,Other overseas,2014 ,37
Chiropractors,45-54,Female,Not stated,2014 ,7
Chiropractors,55-64,Male,Australia,2014 ,297
Chiropractors,55-64,Male,New Zealand,2014 ,3
Chiropractors,55-64,Male,Other overseas,2014 ,91
Chiropractors,55-64,Male,Not stated,2014 ,9
Chiropractors,55-64,Female,Australia,2014 ,60
Chiropractors,55-64,Female,New Zealand,2014 ,0
Chiropractors,55-64,Female,Other overseas,2014 ,17
Chiropractors,55-64,Female,Not stated,2014 ,0
Chiropractors,65-74,Male,Australia,2014 ,90
Chiropractors,65-74,Male,Other overseas,2014 ,69
Chiropractors,65-74,Male,Not stated,2014 ,3
Chiropractors,65-74,Female,Australia,2014 ,11
Chiropractors,65-74,Female,New Zealand,2014 ,0
Chiropractors,65-74,Female,Other overseas,2014 ,0
Chiropractors,75-99,Male,Australia,2014 ,14
Chiropractors,75-99,Male,New Zealand,2014 ,0
Chiropractors,75-99,Male,Other overseas,2014 ,15
Chiropractors,75-99,Male,Not stated,2014 ,3
Chiropractors,75-99,Female,Australia,2014 ,3
Chiropractors,75-99,Female,Other overseas,2014 ,0
Chinese Medicine Practitioners,20-34,Male,Australia,2014 ,156
Chinese Medicine Practitioners,20-34,Male,New Zealand,2014 ,3
Chinese Medicine Practitioners,20-34,Male,Other overseas,2014 ,39
Chinese Medicine Practitioners,20-34,Male,Not stated,2014 ,17
Chinese Medicine Practitioners,20-34,Female,Australia,2014 ,270
Chinese Medicine Practitioners,20-34,Female,New Zealand,2014 ,3
Chinese Medicine Practitioners,20-34,Female,Other overseas,2014 ,37
Chinese Medicine Practitioners,20-34,Female,Not stated,2014 ,33
Chinese Medicine Practitioners,35-44,Male,Australia,2014 ,307
Chinese Medicine Practitioners,35-44,Male,New Zealand,2014 ,0
Chinese Medicine Practitioners,35-44,Male,Other overseas,2014 ,115
Chinese Medicine Practitioners,35-44,Male,Not stated,2014 ,19
Chinese Medicine Practitioners,35-44,Female,Australia,2014 ,442
Chinese Medicine Practitioners,35-44,Female,New Zealand,2014 ,4
Chinese Medicine Practitioners,35-44,Female,Other overseas,2014 ,117
Chinese Medicine Practitioners,35-44,Female,Not stated,2014 ,24
Chinese Medicine Practitioners,45-54,Male,Australia,2014 ,314
Chinese Medicine Practitioners,45-54,Male,New Zealand,2014 ,3
Chinese Medicine Practitioners,45-54,Male,Other overseas,2014 ,167
Chinese Medicine Practitioners,45-54,Male,Not stated,2014 ,13
Chinese Medicine Practitioners,45-54,Female,Australia,2014 ,327
Chinese Medicine Practitioners,45-54,Female,New Zealand,2014 ,3
Chinese Medicine Practitioners,45-54,Female,Other overseas,2014 ,173
Chinese Medicine Practitioners,45-54,Female,Not stated,2014 ,23
Chinese Medicine Practitioners,55-64,Male,Australia,2014 ,278
Chinese Medicine Practitioners,55-64,Male,New Zealand,2014 ,0
Chinese Medicine Practitioners,55-64,Male,Other overseas,2014 ,170
Chinese Medicine Practitioners,55-64,Male,Not stated,2014 ,9
Chinese Medicine Practitioners,55-64,Female,Australia,2014 ,277
Chinese Medicine Practitioners,55-64,Female,New Zealand,2014 ,3
Chinese Medicine Practitioners,55-64,Female,Other overseas,2014 ,132
Chinese Medicine Practitioners,55-64,Female,Not stated,2014 ,20
Chinese Medicine Practitioners,65-74,Male,Australia,2014 ,78
Chinese Medicine Practitioners,65-74,Male,New Zealand,2014 ,0
Chinese Medicine Practitioners,65-74,Male,Other overseas,2014 ,74
Chinese Medicine Practitioners,65-74,Male,Not stated,2014 ,3
Chinese Medicine Practitioners,65-74,Female,Australia,2014 ,55
Chinese Medicine Practitioners,65-74,Female,New Zealand,2014 ,0
Chinese Medicine Practitioners,65-74,Female,Other overseas,2014 ,17
Chinese Medicine Practitioners,65-74,Female,Not stated,2014 ,3
Chinese Medicine Practitioners,75-99,Male,Australia,2014 ,11
Chinese Medicine Practitioners,75-99,Male,Other overseas,2014 ,15
Chinese Medicine Practitioners,75-99,Male,Not stated,2014 ,0
Chinese Medicine Practitioners,75-99,Female,Australia,2014 ,3
Chinese Medicine Practitioners,75-99,Female,Other overseas,2014 ,8
Chinese Medicine Practitioners,75-99,Female,Not stated,2014 ,0
Dental Practitioners,20-34,Male,Australia,2014 ,1620
Dental Practitioners,20-34,Male,New Zealand,2014 ,130
Dental Practitioners,20-34,Male,Other overseas,2014 ,424
Dental Practitioners,20-34,Male,Not stated,2014 ,277
Dental Practitioners,20-34,Female,Australia,2014 ,2673
Dental Practitioners,20-34,Female,New Zealand,2014 ,168
Dental Practitioners,20-34,Female,Other overseas,2014 ,562
Dental Practitioners,20-34,Female,Not stated,2014 ,445
Dental Practitioners,35-44,Male,Australia,2014 ,1366
Dental Practitioners,35-44,Male,New Zealand,2014 ,95
Dental Practitioners,35-44,Male,Other overseas,2014 ,568
Dental Practitioners,35-44,Male,Not stated,2014 ,70
Dental Practitioners,35-44,Female,Australia,2014 ,1437
Dental Practitioners,35-44,Female,New Zealand,2014 ,94
Dental Practitioners,35-44,Female,Other overseas,2014 ,664
Dental Practitioners,35-44,Female,Not stated,2014 ,57
Dental Practitioners,45-54,Male,Australia,2014 ,1652
Dental Practitioners,45-54,Male,New Zealand,2014 ,66
Dental Practitioners,45-54,Male,Other overseas,2014 ,345
Dental Practitioners,45-54,Male,Not stated,2014 ,38
Dental Practitioners,45-54,Female,Australia,2014 ,1309
Dental Practitioners,45-54,Female,New Zealand,2014 ,44
Dental Practitioners,45-54,Female,Other overseas,2014 ,352
Dental Practitioners,45-54,Female,Not stated,2014 ,25
Dental Practitioners,55-64,Male,Australia,2014 ,1746
Dental Practitioners,55-64,Male,New Zealand,2014 ,57
Dental Practitioners,55-64,Male,Other overseas,2014 ,301
Dental Practitioners,55-64,Male,Not stated,2014 ,19
Dental Practitioners,55-64,Female,Australia,2014 ,712
Dental Practitioners,55-64,Female,New Zealand,2014 ,46
Dental Practitioners,55-64,Female,Other overseas,2014 ,147
Dental Practitioners,55-64,Female,Not stated,2014 ,9
Dental Practitioners,65-74,Male,Australia,2014 ,632
Dental Practitioners,65-74,Male,New Zealand,2014 ,37
Dental Practitioners,65-74,Male,Other overseas,2014 ,140
Dental Practitioners,65-74,Male,Not stated,2014 ,8
Dental Practitioners,65-74,Female,Australia,2014 ,43
Dental Practitioners,65-74,Female,New Zealand,2014 ,4
Dental Practitioners,65-74,Female,Other overseas,2014 ,31
Dental Practitioners,65-74,Female,Not stated,2014 ,0
Dental Practitioners,75-99,Male,Australia,2014 ,87
Dental Practitioners,75-99,Male,New Zealand,2014 ,5
Dental Practitioners,75-99,Male,Other overseas,2014 ,19
Dental Practitioners,75-99,Male,Not stated,2014 ,0
Dental Practitioners,75-99,Female,Australia,2014 ,3
Medical Practitioners,20-34,Male,Australia,2014 ,6610
Medical Practitioners,20-34,Male,New Zealand,2014 ,233
Medical Practitioners,20-34,Male,Other overseas,2014 ,1622
Medical Practitioners,20-34,Male,Not stated,2014 ,763
Medical Practitioners,20-34,Female,Australia,2014 ,7941
Medical Practitioners,20-34,Female,New Zealand,2014 ,238
Medical Practitioners,20-34,Female,Other overseas,2014 ,1659
Medical Practitioners,20-34,Female,Not stated,2014 ,764
Medical Practitioners,35-44,Male,Australia,2014 ,6843
Medical Practitioners,35-44,Male,New Zealand,2014 ,443
Medical Practitioners,35-44,Male,Other overseas,2014 ,5013
Medical Practitioners,35-44,Male,Not stated,2014 ,976
Medical Practitioners,35-44,Female,Australia,2014 ,5690
Medical Practitioners,35-44,Female,New Zealand,2014 ,278
Medical Practitioners,35-44,Female,Other overseas,2014 ,3368
Medical Practitioners,35-44,Female,Not stated,2014 ,599
Medical Practitioners,45-54,Male,Australia,2014 ,7073
Medical Practitioners,45-54,Male,New Zealand,2014 ,330
Medical Practitioners,45-54,Male,Other overseas,2014 ,4135
Medical Practitioners,45-54,Male,Not stated,2014 ,421
Medical Practitioners,45-54,Female,Australia,2014 ,4490
Medical Practitioners,45-54,Female,New Zealand,2014 ,177
Medical Practitioners,45-54,Female,Other overseas,2014 ,2632
Medical Practitioners,45-54,Female,Not stated,2014 ,181
Medical Practitioners,55-64,Male,Australia,2014 ,7167
Medical Practitioners,55-64,Male,New Zealand,2014 ,235
Medical Practitioners,55-64,Male,Other overseas,2014 ,2510
Medical Practitioners,55-64,Male,Not stated,2014 ,237
Medical Practitioners,55-64,Female,Australia,2014 ,3041
Medical Practitioners,55-64,Female,New Zealand,2014 ,102
Medical Practitioners,55-64,Female,Other overseas,2014 ,1154
Medical Practitioners,55-64,Female,Not stated,2014 ,93
Medical Practitioners,65-74,Male,Australia,2014 ,3962
Medical Practitioners,65-74,Male,New Zealand,2014 ,108
Medical Practitioners,65-74,Male,Other overseas,2014 ,1554
Medical Practitioners,65-74,Male,Not stated,2014 ,120
Medical Practitioners,65-74,Female,Australia,2014 ,700
Medical Practitioners,65-74,Female,New Zealand,2014 ,13
Medical Practitioners,65-74,Female,Other overseas,2014 ,384
Medical Practitioners,65-74,Female,Not stated,2014 ,20
Medical Practitioners,75-99,Male,Australia,2014 ,953
Medical Practitioners,75-99,Male,New Zealand,2014 ,31
Medical Practitioners,75-99,Male,Other overseas,2014 ,423
Medical Practitioners,75-99,Male,Not stated,2014 ,55
Medical Practitioners,75-99,Female,Australia,2014 ,78
Medical Practitioners,75-99,Female,New Zealand,2014 ,0
Medical Practitioners,75-99,Female,Other overseas,2014 ,64
Medical Practitioners,75-99,Female,Not stated,2014 ,7
Medical Radiation Practitioners,20-34,Male,Australia,2014 ,1546
Medical Radiation Practitioners,20-34,Male,New Zealand,2014 ,21
Medical Radiation Practitioners,20-34,Male,Other overseas,2014 ,33
Medical Radiation Practitioners,20-34,Male,Not stated,2014 ,138
Medical Radiation Practitioners,20-34,Female,Australia,2014 ,3178
Medical Radiation Practitioners,20-34,Female,New Zealand,2014 ,139
Medical Radiation Practitioners,20-34,Female,Other overseas,2014 ,135
Medical Radiation Practitioners,20-34,Female,Not stated,2014 ,324
Medical Radiation Practitioners,35-44,Male,Australia,2014 ,896
Medical Radiation Practitioners,35-44,Male,New Zealand,2014 ,28
Medical Radiation Practitioners,35-44,Male,Other overseas,2014 ,88
Medical Radiation Practitioners,35-44,Male,Not stated,2014 ,20
Medical Radiation Practitioners,35-44,Female,Australia,2014 ,1529
Medical Radiation Practitioners,35-44,Female,New Zealand,2014 ,83
Medical Radiation Practitioners,35-44,Female,Other overseas,2014 ,256
Medical Radiation Practitioners,35-44,Female,Not stated,2014 ,45
Medical Radiation Practitioners,45-54,Male,Australia,2014 ,588
Medical Radiation Practitioners,45-54,Male,New Zealand,2014 ,25
Medical Radiation Practitioners,45-54,Male,Other overseas,2014 ,119
Medical Radiation Practitioners,45-54,Male,Not stated,2014 ,15
Medical Radiation Practitioners,45-54,Female,Australia,2014 ,920
Medical Radiation Practitioners,45-54,Female,New Zealand,2014 ,89
Medical Radiation Practitioners,45-54,Female,Other overseas,2014 ,326
Medical Radiation Practitioners,45-54,Female,Not stated,2014 ,24
Medical Radiation Practitioners,55-64,Male,Australia,2014 ,427
Medical Radiation Practitioners,55-64,Male,New Zealand,2014 ,17
Medical Radiation Practitioners,55-64,Male,Other overseas,2014 ,88
Medical Radiation Practitioners,55-64,Male,Not stated,2014 ,8
Medical Radiation Practitioners,55-64,Female,Australia,2014 ,686
Medical Radiation Practitioners,55-64,Female,New Zealand,2014 ,55
Medical Radiation Practitioners,55-64,Female,Other overseas,2014 ,290
Medical Radiation Practitioners,55-64,Female,Not stated,2014 ,12
Medical Radiation Practitioners,65-74,Male,Australia,2014 ,50
Medical Radiation Practitioners,65-74,Male,New Zealand,2014 ,0
Medical Radiation Practitioners,65-74,Male,Other overseas,2014 ,29
Medical Radiation Practitioners,65-74,Male,Not stated,2014 ,0
Medical Radiation Practitioners,65-74,Female,Australia,2014 ,91
Medical Radiation Practitioners,65-74,Female,New Zealand,2014 ,9
Medical Radiation Practitioners,65-74,Female,Other overseas,2014 ,38
Medical Radiation Practitioners,65-74,Female,Not stated,2014 ,3
Medical Radiation Practitioners,75-99,Male,Australia,2014 ,4
Medical Radiation Practitioners,75-99,Male,Other overseas,2014 ,0
Medical Radiation Practitioners,75-99,Female,Australia,2014 ,3
Medical Radiation Practitioners,75-99,Female,New Zealand,2014 ,0
Medical Radiation Practitioners,75-99,Female,Other overseas,2014 ,0
Nurses and Midwives,20-34,Male,Not stated,2014 ,8806
Nurses and Midwives,20-34,Female,Not stated,2014 ,66866
Nurses and Midwives,20-34,Not stated,Not stated,2014 ,0
Nurses and Midwives,35-44,Male,Not stated,2014 ,8523
Nurses and Midwives,35-44,Female,Not stated,2014 ,59236
Nurses and Midwives,45-54,Male,Not stated,2014 ,7966
Nurses and Midwives,45-54,Female,Not stated,2014 ,74333
Nurses and Midwives,55-64,Male,Not stated,2014 ,5768
Nurses and Midwives,55-64,Female,Not stated,2014 ,58613
Nurses and Midwives,65-74,Male,Not stated,2014 ,690
Nurses and Midwives,65-74,Female,Not stated,2014 ,8933
Nurses and Midwives,75-99,Male,Not stated,2014 ,24
Nurses and Midwives,75-99,Female,Not stated,2014 ,319
Occupational Therapists,20-34,Male,Australia,2014 ,539
Occupational Therapists,20-34,Male,New Zealand,2014 ,6
Occupational Therapists,20-34,Male,Other overseas,2014 ,28
Occupational Therapists,20-34,Male,Not stated,2014 ,75
Occupational Therapists,20-34,Female,Australia,2014 ,5505
Occupational Therapists,20-34,Female,New Zealand,2014 ,110
Occupational Therapists,20-34,Female,Other overseas,2014 ,197
Occupational Therapists,20-34,Female,Not stated,2014 ,683
Occupational Therapists,35-44,Male,Australia,2014 ,308
Occupational Therapists,35-44,Male,New Zealand,2014 ,12
Occupational Therapists,35-44,Male,Other overseas,2014 ,28
Occupational Therapists,35-44,Male,Not stated,2014 ,10
Occupational Therapists,35-44,Female,Australia,2014 ,2754
Occupational Therapists,35-44,Female,New Zealand,2014 ,48
Occupational Therapists,35-44,Female,Other overseas,2014 ,232
Occupational Therapists,35-44,Female,Not stated,2014 ,84
Occupational Therapists,45-54,Male,Australia,2014 ,135
Occupational Therapists,45-54,Male,New Zealand,2014 ,7
Occupational Therapists,45-54,Male,Other overseas,2014 ,27
Occupational Therapists,45-54,Male,Not stated,2014 ,3
Occupational Therapists,45-54,Female,Australia,2014 ,1744
Occupational Therapists,45-54,Female,New Zealand,2014 ,53
Occupational Therapists,45-54,Female,Other overseas,2014 ,216
Occupational Therapists,45-54,Female,Not stated,2014 ,33
Occupational Therapists,55-64,Male,Australia,2014 ,48
Occupational Therapists,55-64,Male,New Zealand,2014 ,3
Occupational Therapists,55-64,Male,Other overseas,2014 ,19
Occupational Therapists,55-64,Male,Not stated,2014 ,0
Occupational Therapists,55-64,Female,Australia,2014 ,845
Occupational Therapists,55-64,Female,New Zealand,2014 ,29
Occupational Therapists,55-64,Female,Other overseas,2014 ,102
Occupational Therapists,55-64,Female,Not stated,2014 ,9
Occupational Therapists,65-74,Male,Australia,2014 ,8
Occupational Therapists,65-74,Male,New Zealand,2014 ,0
Occupational Therapists,65-74,Male,Other overseas,2014 ,4
Occupational Therapists,65-74,Female,Australia,2014 ,100
Occupational Therapists,65-74,Female,New Zealand,2014 ,6
Occupational Therapists,65-74,Female,Other overseas,2014 ,12
Occupational Therapists,65-74,Female,Not stated,2014 ,0
Occupational Therapists,75-99,Female,Australia,2014 ,0
Optometrists,20-34,Male,Australia,2014 ,383
Optometrists,20-34,Male,New Zealand,2014 ,65
Optometrists,20-34,Male,Other overseas,2014 ,21
Optometrists,20-34,Male,Not stated,2014 ,45
Optometrists,20-34,Female,Australia,2014 ,752
Optometrists,20-34,Female,New Zealand,2014 ,99
Optometrists,20-34,Female,Other overseas,2014 ,42
Optometrists,20-34,Female,Not stated,2014 ,62
Optometrists,35-44,Male,Australia,2014 ,424
Optometrists,35-44,Male,New Zealand,2014 ,23
Optometrists,35-44,Male,Other overseas,2014 ,49
Optometrists,35-44,Male,Not stated,2014 ,4
Optometrists,35-44,Female,Australia,2014 ,517
Optometrists,35-44,Female,New Zealand,2014 ,31
Optometrists,35-44,Female,Other overseas,2014 ,56
Optometrists,35-44,Female,Not stated,2014 ,3
Optometrists,45-54,Male,Australia,2014 ,477
Optometrists,45-54,Male,New Zealand,2014 ,9
Optometrists,45-54,Male,Other overseas,2014 ,78
Optometrists,45-54,Male,Not stated,2014 ,0
Optometrists,45-54,Female,Australia,2014 ,323
Optometrists,45-54,Female,New Zealand,2014 ,9
Optometrists,45-54,Female,Other overseas,2014 ,63
Optometrists,45-54,Female,Not stated,2014 ,3
Optometrists,55-64,Male,Australia,2014 ,444
Optometrists,55-64,Male,New Zealand,2014 ,8
Optometrists,55-64,Male,Other overseas,2014 ,55
Optometrists,55-64,Male,Not stated,2014 ,5
Optometrists,55-64,Female,Australia,2014 ,154
Optometrists,55-64,Female,New Zealand,2014 ,3
Optometrists,55-64,Female,Other overseas,2014 ,14
Optometrists,65-74,Male,Australia,2014 ,56
Optometrists,65-74,Male,New Zealand,2014 ,3
Optometrists,65-74,Male,Other overseas,2014 ,20
Optometrists,65-74,Male,Not stated,2014 ,0
Optometrists,65-74,Female,Australia,2014 ,8
Optometrists,65-74,Female,New Zealand,2014 ,0
Optometrists,65-74,Female,Other overseas,2014 ,0
Optometrists,75-99,Male,Australia,2014 ,9
Optometrists,75-99,Male,New Zealand,2014 ,0
Optometrists,75-99,Male,Other overseas,2014 ,3
Optometrists,75-99,Female,Other overseas,2014 ,0
Osteopaths,20-34,Male,Australia,2014 ,231
Osteopaths,20-34,Male,New Zealand,2014 ,7
Osteopaths,20-34,Male,Other overseas,2014 ,7
Osteopaths,20-34,Male,Not stated,2014 ,32
Osteopaths,20-34,Female,Australia,2014 ,433
Osteopaths,20-34,Female,New Zealand,2014 ,10
Osteopaths,20-34,Female,Other overseas,2014 ,5
Osteopaths,20-34,Female,Not stated,2014 ,62
Osteopaths,35-44,Male,Australia,2014 ,217
Osteopaths,35-44,Male,New Zealand,2014 ,3
Osteopaths,35-44,Male,Other overseas,2014 ,22
Osteopaths,35-44,Male,Not stated,2014 ,3
Osteopaths,35-44,Female,Australia,2014 ,237
Osteopaths,35-44,Female,New Zealand,2014 ,3
Osteopaths,35-44,Female,Other overseas,2014 ,18
Osteopaths,35-44,Female,Not stated,2014 ,10
Osteopaths,45-54,Male,Australia,2014 ,97
Osteopaths,45-54,Male,New Zealand,2014 ,0
Osteopaths,45-54,Male,Other overseas,2014 ,36
Osteopaths,45-54,Male,Not stated,2014 ,4
Osteopaths,45-54,Female,Australia,2014 ,55
Osteopaths,45-54,Female,Other overseas,2014 ,20
Osteopaths,45-54,Female,Not stated,2014 ,3
Osteopaths,55-64,Male,Australia,2014 ,102
Osteopaths,55-64,Male,New Zealand,2014 ,0
Osteopaths,55-64,Male,Other overseas,2014 ,25
Osteopaths,55-64,Male,Not stated,2014 ,3
Osteopaths,55-64,Female,Australia,2014 ,28
Osteopaths,55-64,Female,New Zealand,2014 ,0
Osteopaths,55-64,Female,Other overseas,2014 ,8
Osteopaths,55-64,Female,Not stated,2014 ,0
Osteopaths,65-74,Male,Australia,2014 ,35
Osteopaths,65-74,Male,New Zealand,2014 ,0
Osteopaths,65-74,Male,Other overseas,2014 ,6
Osteopaths,65-74,Male,Not stated,2014 ,0
Osteopaths,65-74,Female,Australia,2014 ,0
Osteopaths,65-74,Female,Other overseas,2014 ,0
Osteopaths,65-74,Female,Not stated,2014 ,0
Osteopaths,75-99,Male,Australia,2014 ,5
Osteopaths,75-99,Male,Other overseas,2014 ,0
Osteopaths,75-99,Female,Australia,2014 ,0
Osteopaths,75-99,Female,Other overseas,2014 ,0
Pharmacists,20-34,Male,Australia,2014 ,3176
Pharmacists,20-34,Male,New Zealand,2014 ,95
Pharmacists,20-34,Male,Other overseas,2014 ,290
Pharmacists,20-34,Male,Not stated,2014 ,233
Pharmacists,20-34,Female,Australia,2014 ,5985
Pharmacists,20-34,Female,New Zealand,2014 ,136
Pharmacists,20-34,Female,Other overseas,2014 ,274
Pharmacists,20-34,Female,Not stated,2014 ,428
Pharmacists,35-44,Male,Australia,2014 ,1593
Pharmacists,35-44,Male,New Zealand,2014 ,58
Pharmacists,35-44,Male,Other overseas,2014 ,366
Pharmacists,35-44,Male,Not stated,2014 ,43
Pharmacists,35-44,Female,Australia,2014 ,2426
Pharmacists,35-44,Female,New Zealand,2014 ,77
Pharmacists,35-44,Female,Other overseas,2014 ,332
Pharmacists,35-44,Female,Not stated,2014 ,43
Pharmacists,45-54,Male,Australia,2014 ,1119
Pharmacists,45-54,Male,New Zealand,2014 ,54
Pharmacists,45-54,Male,Other overseas,2014 ,195
Pharmacists,45-54,Male,Not stated,2014 ,19
Pharmacists,45-54,Female,Australia,2014 ,1548
Pharmacists,45-54,Female,New Zealand,2014 ,55
Pharmacists,45-54,Female,Other overseas,2014 ,335
Pharmacists,45-54,Female,Not stated,2014 ,17
Pharmacists,55-64,Male,Australia,2014 ,907
Pharmacists,55-64,Male,New Zealand,2014 ,45
Pharmacists,55-64,Male,Other overseas,2014 ,159
Pharmacists,55-64,Male,Not stated,2014 ,8
Pharmacists,55-64,Female,Australia,2014 ,1073
Pharmacists,55-64,Female,New Zealand,2014 ,26
Pharmacists,55-64,Female,Other overseas,2014 ,156
Pharmacists,55-64,Female,Not stated,2014 ,11
Pharmacists,65-74,Male,Australia,2014 ,579
Pharmacists,65-74,Male,New Zealand,2014 ,30
Pharmacists,65-74,Male,Other overseas,2014 ,46
Pharmacists,65-74,Male,Not stated,2014 ,11
Pharmacists,65-74,Female,Australia,2014 ,242
Pharmacists,65-74,Female,New Zealand,2014 ,4
Pharmacists,65-74,Female,Other overseas,2014 ,30
Pharmacists,65-74,Female,Not stated,2014 ,6
Pharmacists,75-99,Male,Australia,2014 ,165
Pharmacists,75-99,Male,New Zealand,2014 ,6
Pharmacists,75-99,Male,Other overseas,2014 ,9
Pharmacists,75-99,Male,Not stated,2014 ,6
Pharmacists,75-99,Female,Australia,2014 ,35
Pharmacists,75-99,Female,Other overseas,2014 ,3
Physiotherapists,20-34,Male,Australia,2014 ,2980
Physiotherapists,20-34,Male,New Zealand,2014 ,161
Physiotherapists,20-34,Male,Other overseas,2014 ,152
Physiotherapists,20-34,Male,Not stated,2014 ,473
Physiotherapists,20-34,Female,Australia,2014 ,5443
Physiotherapists,20-34,Female,New Zealand,2014 ,302
Physiotherapists,20-34,Female,Other overseas,2014 ,476
Physiotherapists,20-34,Female,Not stated,2014 ,779
Physiotherapists,35-44,Male,Australia,2014 ,1613
Physiotherapists,35-44,Male,New Zealand,2014 ,57
